ITEM  NUMBER     BIN                  HEX       
1     -39        11111111111111111111111111011001 0XFFFFFFD9
2     -36        11111111111111111111111111011100 0XFFFFFFDC
3     8          1000                 8         
4     34         100010               22        
5     17         10001                11        
6     49         110001               31        
7     5          101                  5         
8     0          0                    0         
9     33         100001               21        
10    12         1100                 C         
11    -6         11111111111111111111111111111010 0XFFFFFFFA
12    27         11011                1B        
13    -4         11111111111111111111111111111100 0XFFFFFFFC
14    -38        11111111111111111111111111011010 0XFFFFFFDA
15    26         11010                1A        
16    49         110001               31        
17    29         11101                1D        
18    42         101010               2A        
19    -16        11111111111111111111111111110000 0XFFFFFFF0
20    34         100010               22        
21    20         10100                14        
22    0          0                    0         
23    25         11001                19        
24    45         101101               2D        
25    3          11                   3         
26    -46        11111111111111111111111111010010 0XFFFFFFD2
27    -46        11111111111111111111111111010010 0XFFFFFFD2
28    29         11101                1D        
29    33         100001               21        
30    29         11101                1D        
31    26         11010                1A        
32    -5         11111111111111111111111111111011 0XFFFFFFFB
33    -36        11111111111111111111111111011100 0XFFFFFFDC
34    12         1100                 C         
35    45         101101               2D        
36    -50        11111111111111111111111111001110 0XFFFFFFCE
37    0          0                    0         
38    -6         11111111111111111111111111111010 0XFFFFFFFA

Runtime: 0.00156 seconds
